 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
2392,20.051,13.905,17.079,13.561,14.110,21.326,24.254,25.363,24.858,22.451,33.312,33.443,29.721,24.447,25.205,24.989,23.937,21.874,33.407,23.354,25.036,21.487
2393,20.070,13.929,17.065,13.517,14.102,21.324,24.248,25.398,24.889,22.464,33.349,33.477,29.780,24.494,25.193,24.998,23.959,21.878,33.454,23.360,25.069,21.506
2394,20.057,13.915,17.049,13.516,14.095,21.318,24.242,25.410,24.838,22.479,33.339,33.465,29.778,24.462,25.226,24.984,23.952,21.872,33.453,23.382,25.036,21.506
2395,20.069,13.919,17.108,13.521,14.096,21.320,24.261,25.415,24.863,22.523,33.364,33.493,29.793,24.493,25.238,25.006,23.948,21.898,33.467,23.390,25.054,21.506
2396,20.052,13.899,17.043,13.504,14.070,21.309,24.262,25.346,24.816,22.515,33.299,33.443,29.742,24.452,25.224,25.021,23.932,21.874,33.434,23.373,25.071,21.499
2397,20.045,13.881,17.045,13.534,14.070,21.313,24.254,25.371,24.771,22.495,33.307,33.460,29.733,24.438,25.174,24.974,23.916,21.872,33.392,23.323,25.056,21.485
2398,20.040,13.889,17.066,13.482,14.050,21.319,24.240,25.373,24.827,22.498,33.308,33.461,29.732,24.440,25.220,24.964,23.912,21.854,33.387,23.371,25.039,21.480
2399,20.065,13.914,17.040,13.529,14.070,21.324,24.237,25.371,24.833,22.483,33.305,33.454,29.753,24.454,25.209,24.996,23.934,21.874,33.440,23.355,25.073,21.498
2400,20.037,13.918,16.967,13.535,14.085,21.293,24.225,25.368,24.825,22.440,33.260,33.423,29.722,24.453,25.213,24.959,23.932,21.860,33.424,23.369,25.031,21.481
2401,20.050,13.859,17.037,13.512,14.083,21.293,24.236,25.388,24.816,22.432,33.318,33.448,29.734,24.437,25.184,24.973,23.925,21.855,33.445,23.344,25.047,21.492
2402,20.077,13.947,17.024,13.497,14.100,21.324,24.266,25.425,24.850,22.482,33.391,33.520,29.775,24.489,25.240,24.999,23.960,21.917,33.438,23.407,25.082,21.521
2403,20.095,13.926,17.059,13.517,14.087,21.387,24.291,25.411,24.879,22.509,33.390,33.506,29.809,24.511,25.261,25.033,23.986,21.907,33.511,23.442,25.113,21.528
2404,20.067,13.920,17.017,13.530,14.097,21.359,24.306,25.412,24.874,22.482,33.371,33.491,29.794,24.486,25.240,24.992,23.940,21.919,33.445,23.397,25.097,21.513
2405,20.070,13.880,17.025,13.509,14.119,21.353,24.270,25.408,24.865,22.522,33.378,33.510,29.763,24.485,25.244,25.038,23.940,21.903,33.495,23.387,25.074,21.521
2406,20.071,13.913,17.043,13.501,14.085,21.287,24.257,25.403,24.808,22.444,33.343,33.485,29.752,24.482,25.257,24.958,23.929,21.883,33.473,23.375,25.076,21.504
2407,20.046,13.884,16.983,13.499,14.101,21.312,24.218,25.370,24.766,22.391,33.363,33.458,29.751,24.447,25.222,24.961,23.936,21.850,33.401,23.425,25.036,21.485
2408,20.044,13.888,17.005,13.535,14.085,21.309,24.246,25.363,24.826,22.476,33.306,33.439,29.744,24.454,25.188,24.959,23.895,21.876,33.412,23.408,25.047,21.491
2409,20.031,13.890,16.983,13.514,14.077,21.301,24.221,25.358,24.818,22.462,33.254,33.439,29.748,24.422,25.179,24.968,23.918,21.857,33.436,23.371,25.043,21.478
2410,20.043,13.894,16.993,13.528,14.096,21.302,24.271,25.361,24.827,22.493,33.344,33.464,29.742,24.470,25.181,24.970,23.930,21.863,33.428,23.377,25.047,21.493
2411,20.022,13.876,16.960,13.538,14.067,21.367,24.235,25.364,24.817,22.522,33.304,33.391,29.717,24.460,25.179,24.928,23.898,21.862,33.405,23.352,25.030,21.475
2412,20.066,13.918,17.005,13.486,14.078,21.405,24.240,25.380,24.820,22.483,33.307,33.492,29.756,24.462,25.213,24.976,23.930,21.867,33.477,23.417,25.076,21.499
