# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
5.43777,1.37031,1.47763,1.69057,2.00116,2.05745,1.13992,1.09011,1.16069,1.16955
5.44970,1.37355,1.48507,1.70024,1.99513,2.06084,1.14576,1.09128,1.15936,1.17402
5.46162,1.37541,1.49023,1.70920,1.98364,2.07114,1.14942,1.09359,1.15927,1.17966
5.47354,1.37933,1.49493,1.71709,1.97318,2.08052,1.15328,1.09602,1.16060,1.18495
5.48547,1.38354,1.49883,1.72542,1.96158,2.09121,1.15531,1.09919,1.16254,1.19064
5.49739,1.38874,1.50505,1.73095,1.94865,2.10153,1.15579,1.10261,1.16584,1.19532
5.50931,1.39325,1.50958,1.73697,1.93899,2.11582,1.15377,1.10567,1.16968,1.19919
5.52124,1.39734,1.51669,1.73876,1.93171,2.12768,1.15013,1.10860,1.17488,1.20292
5.53316,1.40144,1.52076,1.74356,1.92677,2.13750,1.14353,1.11051,1.18074,1.20538
5.54509,1.40502,1.52773,1.74732,1.92698,2.14657,1.13525,1.11253,1.18694,1.20868
5.55701,1.40738,1.53736,1.75079,1.92937,2.15000,1.12586,1.11357,1.19362,1.21260
5.56893,1.40935,1.54509,1.75626,1.93768,2.14944,1.11562,1.11434,1.20003,1.21634
5.58086,1.40990,1.55525,1.76140,1.94811,2.14860,1.10536,1.11400,1.20534,1.22136
5.59278,1.40963,1.56508,1.76840,1.96058,2.14414,1.09500,1.11368,1.21043,1.22741
5.60471,1.41020,1.57539,1.77431,1.97203,2.13378,1.08606,1.11230,1.21365,1.23339
5.61663,1.41013,1.58509,1.78374,1.98404,2.11883,1.07632,1.11056,1.21549,1.23993
5.62855,1.41037,1.59391,1.79202,1.99397,2.10510,1.06983,1.10842,1.21646,1.24678
5.64048,1.41149,1.60349,1.79980,2.00142,2.09131,1.06365,1.10627,1.21557,1.25260
