# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
4.73426,419.00000,434.66667,430.80000,326.25000,356.12500,679.57143,1094.88889,1057.88889,980.60000
4.74619,418.88889,434.11111,430.70000,326.25000,355.75000,680.71429,1093.00000,1059.88889,979.50000
4.75811,419.00000,433.77778,430.90000,326.12500,355.62500,681.00000,1091.55556,1062.00000,978.40000
4.77003,419.44444,433.66667,430.70000,325.37500,355.37500,681.00000,1089.55556,1063.55556,977.20000
4.78196,419.77778,433.55556,430.90000,325.00000,355.12500,680.57143,1087.88889,1064.88889,976.20000
4.79388,420.44444,433.22222,431.10000,324.37500,355.25000,679.71429,1086.11111,1065.55556,975.40000
4.80580,421.00000,433.00000,431.40000,323.75000,355.25000,678.00000,1084.00000,1065.33333,974.50000
4.81773,421.44444,432.77778,431.60000,323.12500,354.87500,676.28571,1081.77778,1064.77778,973.90000
4.82965,422.00000,432.66667,432.00000,322.62500,354.62500,674.28571,1079.66667,1063.44444,973.30000
4.84158,422.77778,432.77778,432.30000,321.87500,354.00000,672.00000,1076.88889,1061.55556,972.60000
4.85350,423.22222,432.77778,432.70000,321.75000,353.37500,669.85714,1074.44444,1059.11111,972.30000
4.86542,424.22222,433.00000,433.00000,321.25000,352.62500,668.14286,1071.77778,1056.88889,971.60000
4.87735,425.00000,433.00000,433.10000,320.87500,351.62500,666.57143,1069.00000,1054.44444,971.10000
4.88927,425.77778,433.44444,433.40000,320.75000,350.75000,665.42857,1066.77778,1052.33333,970.30000
4.90120,426.44444,433.44444,433.80000,320.87500,349.75000,664.71429,1064.66667,1050.33333,969.60000
4.91312,427.00000,433.33333,434.20000,320.62500,348.87500,664.85714,1062.55556,1048.88889,968.60000
4.92504,427.22222,433.44444,434.60000,320.75000,348.12500,665.42857,1060.77778,1048.00000,967.90000
4.93697,427.55556,433.22222,435.00000,320.62500,347.50000,665.85714,1059.11111,1047.66667,967.30000
4.94889,427.66667,433.00000,435.40000,320.87500,346.87500,666.57143,1057.22222,1047.33333,966.90000
4.96082,427.33333,432.66667,435.80000,321.00000,346.50000,667.57143,1055.77778,1047.55556,966.50000
4.97274,426.88889,432.11111,436.20000,320.87500,346.50000,668.42857,1054.11111,1047.55556,966.60000
4.98466,426.33333,431.55556,436.90000,320.87500,346.50000,669.57143,1052.33333,1047.77778,966.80000
4.99659,425.66667,431.11111,437.30000,320.50000,346.62500,670.14286,1050.66667,1047.77778,967.00000
5.00851,424.88889,430.55556,437.40000,320.50000,346.75000,671.00000,1049.44444,1047.55556,967.40000
5.02043,424.22222,430.00000,437.90000,320.00000,347.25000,671.71429,1047.88889,1047.11111,967.80000
5.03236,423.11111,429.55556,437.90000,319.62500,347.75000,672.28571,1046.88889,1046.55556,968.00000
5.04428,422.44444,429.00000,438.00000,319.37500,348.62500,672.85714,1046.22222,1045.66667,968.50000
5.05621,421.55556,428.55556,437.80000,318.62500,349.87500,673.42857,1045.44444,1045.00000,968.70000
5.06813,420.66667,427.88889,437.60000,318.12500,350.87500,673.42857,1044.88889,1044.00000,969.20000
5.08005,420.11111,427.66667,437.30000,317.87500,352.50000,673.42857,1044.22222,1043.44444,969.50000
5.09198,419.33333,426.88889,437.10000,317.37500,353.75000,673.42857,1043.44444,1042.77778,970.10000
5.10390,418.55556,426.33333,436.60000,317.12500,355.12500,672.71429,1042.66667,1042.22222,970.40000
5.11583,418.11111,425.77778,436.30000,316.87500,356.00000,672.14286,1041.88889,1042.00000,971.10000
5.12775,418.11111,425.44444,435.80000,316.87500,357.00000,671.28571,1040.88889,1042.11111,971.50000
5.13967,417.77778,425.22222,435.40000,317.00000,357.62500,670.57143,1039.66667,1042.66667,971.80000
5.15160,417.88889,424.66667,434.70000,317.00000,357.62500,670.00000,1038.44444,1043.33333,971.80000
5.16352,418.22222,424.55556,434.10000,317.00000,357.50000,669.42857,1037.33333,1044.11111,971.10000
5.17545,418.44444,424.44444,433.30000,317.12500,357.12500,669.14286,1036.22222,1045.22222,970.00000
5.18737,418.88889,424.44444,432.40000,317.50000,356.37500,668.85714,1035.22222,1046.11111,968.60000
5.19929,419.44444,424.22222,431.40000,317.75000,355.62500,668.57143,1033.88889,1046.77778,966.70000
