# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
4.65079,482.77778,502.55556,680.20000,620.37500,767.37500,760.71429,1128.88889,1161.88889,1087.00000
4.66272,480.44444,503.00000,681.50000,621.50000,766.75000,758.28571,1130.66667,1161.66667,1086.60000
4.67464,479.33333,503.44444,682.70000,622.87500,766.12500,755.42857,1131.88889,1162.44444,1086.10000
4.68657,479.66667,504.11111,683.50000,624.75000,765.50000,752.00000,1132.66667,1164.44444,1085.40000
4.69849,481.22222,505.00000,684.40000,626.37500,764.75000,748.14286,1133.22222,1166.66667,1084.80000
4.71041,483.88889,506.11111,685.10000,628.50000,763.75000,744.71429,1132.77778,1169.55556,1084.50000
4.72234,487.44444,507.11111,686.30000,630.37500,763.00000,741.42857,1132.11111,1172.77778,1084.60000
4.73426,491.33333,508.22222,687.60000,632.50000,761.75000,738.71429,1130.77778,1176.11111,1085.40000
4.74619,495.33333,510.00000,689.10000,634.25000,760.50000,736.28571,1128.66667,1179.33333,1086.80000
4.75811,499.00000,511.77778,691.00000,635.62500,758.50000,734.57143,1126.33333,1182.22222,1089.20000
4.77003,502.33333,514.11111,693.20000,636.87500,756.75000,734.00000,1123.44444,1184.77778,1092.30000
4.78196,504.88889,516.66667,695.40000,637.50000,754.62500,733.57143,1120.66667,1187.00000,1096.00000
4.79388,507.11111,519.77778,697.60000,637.62500,752.50000,734.14286,1117.44444,1188.88889,1100.20000
4.80580,508.33333,523.11111,699.80000,637.37500,750.25000,735.42857,1114.66667,1190.33333,1104.80000
4.81773,509.55556,526.77778,701.70000,636.25000,748.25000,737.28571,1111.88889,1191.22222,1109.40000
4.82965,510.22222,530.44444,703.20000,634.62500,746.12500,739.42857,1109.55556,1192.33333,1114.00000
4.84158,510.22222,534.11111,704.40000,632.75000,744.37500,741.85714,1107.55556,1193.22222,1118.00000
4.85350,510.77778,538.00000,705.40000,630.00000,742.87500,744.42857,1105.88889,1194.11111,1121.60000
4.86542,511.33333,541.11111,706.10000,627.25000,741.87500,747.00000,1104.66667,1195.22222,1124.80000
4.87735,511.77778,544.33333,707.00000,624.62500,740.87500,749.71429,1103.55556,1196.44444,1126.80000
4.88927,512.66667,547.22222,707.90000,621.87500,740.37500,752.00000,1102.88889,1198.11111,1128.40000
4.90120,513.55556,549.88889,708.90000,619.75000,740.00000,753.71429,1102.55556,1199.66667,1129.20000
4.91312,515.00000,552.00000,710.20000,618.00000,739.62500,755.14286,1102.33333,1202.00000,1129.30000
4.92504,516.44444,554.22222,711.60000,616.62500,739.50000,756.14286,1102.00000,1204.22222,1129.00000
4.93697,518.00000,555.66667,713.20000,615.75000,738.87500,756.85714,1101.77778,1206.44444,1128.10000
4.94889,519.66667,557.22222,714.90000,615.25000,738.50000,756.85714,1101.22222,1208.77778,1126.80000
4.96082,521.33333,558.66667,716.60000,615.00000,738.37500,756.85714,1100.66667,1211.11111,1125.20000
4.97274,522.55556,559.66667,718.30000,614.50000,738.12500,756.57143,1100.11111,1213.33333,1123.90000
