time, dGoR #1, dGoR #2, dGoR #3, dGoR #4, dGoR #5, dGoR #6, dGoR #7, dGoR #8, dGoR #9, dGoR #10, dGoR #11, dGoR #12, dGoR #13, dGoR #14, dGoR #15, average
3.39878, 0.36191, 0.48826, 0.37830, 0.32463, 0.36164, 0.34506, 0.39732, 0.37182, 0.39549, 0.35082, 0.37480, 0.35358, 0.42192, 0.35961, 0.43064, 0.38105, 
3.41071, 0.40513, 0.43582, 0.34268, 0.38993, 0.43030, 0.36639, 0.33313, 0.34791, 0.44300, 0.43194, 0.36418, 0.37029, 0.32104, 0.37272, 0.35562, 0.38067, 
3.42263, 0.41777, 0.37706, 0.36367, 0.38576, 0.40327, 0.38458, 0.46870, 0.36902, 0.38743, 0.36721, 0.34369, 0.38412, 0.36863, 0.33994, 0.41680, 0.38518, 
3.43456, 0.39945, 0.38890, 0.38477, 0.41451, 0.36946, 0.38114, 0.27274, 0.37815, 0.38034, 0.36026, 0.32747, 0.31288, 0.35413, 0.36703, 0.37027, 0.36410, 
3.44648, 0.43248, 0.42469, 0.37031, 0.37264, 0.39804, 0.33868, 0.33109, 0.33910, 0.36892, 0.32836, 0.33785, 0.36297, 0.33613, 0.33693, 0.37482, 0.36353, 
3.45840, 0.38724, 0.43076, 0.45984, 0.40902, 0.41910, 0.32945, 0.40370, 0.36480, 0.34847, 0.33742, 0.34701, 0.36969, 0.37299, 0.35345, 0.33718, 0.37801, 
3.47033, 0.43053, 0.34428, 0.39840, 0.37576, 0.40392, 0.37890, 0.39232, 0.31349, 0.36870, 0.34053, 0.33988, 0.40669, 0.38019, 0.31187, 0.55658, 0.38280, 
3.48225, 0.42074, 0.41703, 0.40557, 0.42028, 0.44688, 0.42225, 0.35868, 0.38532, 0.40946, 0.34888, 0.32375, 0.41318, 0.43590, 0.31970, 0.38044, 0.39387, 
3.49418, 0.40468, 0.39819, 0.40625, 0.36995, 0.42072, 0.37316, 0.39000, 0.34145, 0.31485, 0.32893, 0.34264, 0.34915, 0.37270, 0.30934, 0.31568, 0.36251, 
3.50610, 0.40768, 0.41719, 0.41246, 0.41650, 0.43708, 0.34021, 0.39729, 0.43128, 0.39199, 0.33985, 0.34731, 0.36238, 0.36307, 0.29187, 0.41479, 0.38473, 
3.51802, 0.37793, 0.39547, 0.38126, 0.38971, 0.46512, 0.38262, 0.37885, 0.31688, 0.36725, 0.37650, 0.34767, 0.32688, 0.36050, 0.37433, 0.43393, 0.37833, 
3.52995, 0.43064, 0.44630, 0.36560, 0.45640, 0.44904, 0.33559, 0.42644, 0.34784, 0.33664, 0.34800, 0.43026, 0.41077, 0.33999, 0.36496, 0.35167, 0.38934, 
3.54187, 0.38770, 0.41351, 0.40096, 0.34906, 0.41453, 0.40322, 0.37891, 0.33819, 0.34630, 0.36837, 0.31457, 0.51392, 0.41584, 0.35959, 0.30769, 0.38082, 
3.55379, 0.42671, 0.44639, 0.36053, 0.44246, 0.38047, 0.42801, 0.39468, 0.33870, 0.34022, 0.36338, 0.36474, 0.44979, 0.41965, 0.34406, 0.38052, 0.39202, 
3.56572, 0.31412, 0.42701, 0.41237, 0.39989, 0.39760, 0.36381, 0.33213, 0.33167, 0.38204, 0.39276, 0.33122, 0.34994, 0.51337, 0.30622, 0.34423, 0.37323, 
3.57764, 0.40625, 0.40610, 0.40230, 0.43147, 0.42913, 0.35732, 0.41112, 0.35368, 0.34985, 0.39134, 0.32130, 0.30276, 0.34114, 0.34433, 0.41978, 0.37786, 
3.58957, 0.35017, 0.43699, 0.44162, 0.42399, 0.45896, 0.36574, 0.41813, 0.33005, 0.35455, 0.37132, 0.38516, 0.40365, 0.36463, 0.36691, 0.37334, 0.38968, 
